LQ100,Pin Name,Type,Level,ADC,DAC,TIM,I2C,USART,UART,SPI,CAN,USB,SWD,FSMC,SDIO,Othr
1,PE2,I/O,FT,,,,,,,,,,,,,TraceCK
2,PE3,I/O,FT,,,,,,,,,,,A19,,TraceD0
3,PE4,I/O,FT,,,,,,,,,,,A20,,TraceD1
4,PE5,I/O,FT,,,,,,,,,,,A21,,TraceD2
5,PE6,I/O,FT,,,,,,,,,,,A22,,TraceD3
6,VBAT,S,VBAT,,,,,,,,,,,,,
7,PC13-TAMPERRTC,I/O,-,,,,,,,,,,,,,Tamper
8,PC14-OSC32_IN,I/O,-,,,,,,,,,,,,,OSC32_IN
9,PC15-OSC32_OUT,I/O,-,,,,,,,,,,,,,OSC32_OUT
10,VSS_5,S,VSS_5,,,,,,,,,,,,,
11,VDD_5,S,VDD_5,,,,,,,,,,,,,
12,OSC_IN,I,-,,,,,,,,,,,,,OSC_IN
13,OSC_OUT,O,-,,,,,,,,,,,,,OSC_OUT
14,NRST,I/O,-,,,,,,,,,,NRST,,,NRST
15,PC0,I/O,-,ADC123.10,,,,,,,,,,,,
16,PC1,I/O,-,ADC123.11,,,,,,,,,,,,
17,PC2,I/O,-,ADC123.12,,,,,,,,,,,,
18,PC3,I/O,-,ADC123.13,,,,,,,,,,,,
19,VSSA,S,VSSA,,,,,,,,,,,,,
20,VREF-,S,VREF-,,,,,,,,,,,,,
21,VREF+,S,VREF+,,,,,,,,,,,,,
22,VDDA,S,VDDA,,,,,,,,,,,,,
23,PA0-WKUP,I/O,-,ADC123.0,,T2_ETR,,U2_CTS,,,,,,,,"WKUP,T5.1,T8_ETR"
24,PA1,I/O,-,ADC123.1,,T2.2,,U2_RTS,,,,,,,,T5.2
25,PA2,I/O,-,ADC123.2,,T2.3,,U2_TX,,,,,,,,T5.3
26,PA3,I/O,-,ADC123.3,,T2.4,,U2_RX,,,,,,,,T5.4
27,VSS_4,S,VSS_4,,,,,,,,,,,,,
28,VDD_4,S,VDD_4,,,,,,,,,,,,,
29,PA4,I/O,-,ADC12.4,DAC1,,,U2_CK,,SPI1_NSS,,,,,,
30,PA5,I/O,-,ADC12.5,DAC2,,,,,SPI1_SCK,,,,,,
31,PA6,I/O,-,ADC12.6,,T3.1,,,,SPI1_MISO,,,,,,T1_BKIN
32,PA7,I/O,-,ADC12.7,,T3.2,,,,SPI1_MOSI,,,,,,T1.1N
33,PC4,I/O,-,ADC12.14,,,,,,,,,,,,
34,PC5,I/O,-,ADC12.15,,,,,,,,,,,,
35,PB0,I/O,-,ADC12.8,,T3.3,,,,,,,,,,"T1.2N,T8.2N"
36,PB1,I/O,-,ADC12.9,,T3.4,,,,,,,,,,"T1.3N,T8.3N"
37,PB2,I/O,FT,,,,,,,,,,,,,Boot1
38,PE7,I/O,FT,,,T1_ETR,,,,,,,,D4,,
39,PE8,I/O,FT,,,T1.1N,,,,,,,,D5,,
40,PE9,I/O,FT,,,T1.1,,,,,,,,D6,,
41,PE10,I/O,FT,,,T1.2N,,,,,,,,D7,,
42,PE11,I/O,FT,,,T1.2,,,,,,,,D8,,
43,PE12,I/O,FT,,,T1.3N,,,,,,,,D9,,
44,PE13,I/O,FT,,,T1.3,,,,,,,,D10,,
45,PE14,I/O,FT,,,T1.4,,,,,,,,D11,,
46,PE15,I/O,FT,,,T1_BKIN,,,,,,,,D12,,
47,PB10,I/O,FT,,,T2.3,I2C2_SCL,U3_TX,,,,,,,,
48,PB11,I/O,FT,,,T2.4,I2C2_SDA,U3_RX,,,,,,,,
